TITLE     = ""
VARIABLES = "x [m]"
"r [m]"
ZONE T="Ogive Surface"
 STRANDID=0, SOLUTIONTIME=0
 I=8000, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 6.306141614913940430E-02 1.874929730547592044E-04
 6.306149065494537354E-02 1.924923853948712349E-04
 6.306157261133193970E-02 1.974917831830680370E-04
 6.306164711713790894E-02 2.024911373155191541E-04
 6.306172907352447510E-02 2.074904768960550427E-04
 6.306181848049163818E-02 2.124897582689300179E-04
 6.306190043687820435E-02 2.174890250898897648E-04
 6.306198984384536743E-02 2.224882482551038265E-04
 6.306207925081253052E-02 2.274874423164874315E-04
 6.306216865777969360E-02 2.324865927221253514E-04
 6.306226551532745361E-02 2.374857140239328146E-04
 6.306236237287521362E-02 2.424847916699945927E-04
 6.306245923042297363E-02 2.474838402122259140E-04
 6.306255608797073364E-02 2.524828305467963219E-04
 6.306266039609909058E-02 2.574817917775362730E-04
 6.306276470422744751E-02 2.624806948006153107E-04
 6.306286901235580444E-02 2.674795687198638916E-04
 6.306298077106475830E-02 2.724784135352820158E-04
 6.306309252977371216E-02 2.774772001430392265E-04
 6.306320428848266602E-02 2.824759576469659805E-04
 6.306331604719161987E-02 2.874746569432318211E-04
 6.306343525648117065E-02 2.924732980318367481E-04
 6.306354701519012451E-02 2.974719100166112185E-04
 6.306366622447967529E-02 3.024704637937247753E-04
 6.306379288434982300E-02 3.074689884670078754E-04
 6.306391209363937378E-02 3.124674549326300621E-04
 6.306403875350952148E-02 3.174658631905913353E-04
 6.306417286396026611E-02 3.224642132408916950E-04
 6.306429952383041382E-02 3.274625341873615980E-04
 6.306443363428115845E-02 3.324607969261705875E-04
 6.306456774473190308E-02 3.374590014573186636E-04
 6.306470185518264771E-02 3.424571477808058262E-04
 6.306483596563339233E-02 3.474552358966320753E-04
 6.306497752666473389E-02 3.524532949086278677E-04
 6.306511908769607544E-02 3.574512666091322899E-04
 6.306526809930801392E-02 3.624491801019757986E-04
 6.306540966033935547E-02 3.674470644909888506E-04
 6.306555867195129395E-02 3.724448615685105324E-04
 6.306570768356323242E-02 3.774426295422017574E-04
 6.306586414575576782E-02 3.824403102044016123E-04
 6.306601315736770630E-02 3.874379326589405537E-04
 6.306616961956024170E-02 3.924354969058185816E-04
 6.306632608175277710E-02 3.974330029450356960E-04
 6.306648999452590942E-02 4.024304507765918970E-04
 6.306665390729904175E-02 4.074278112966567278E-04
 6.306681782007217407E-02 4.124251427128911018E-04
 6.306698173284530640E-02 4.174223868176341057E-04
 6.306714564561843872E-02 4.224195436108857393E-04
 6.306731700897216797E-02 4.274166713003069162E-04
 6.306748837232589722E-02 4.324137116782367229E-04
 6.306766718626022339E-02 4.374106938485056162E-04
 6.306783854961395264E-02 4.424075887072831392E-04
 6.306801736354827881E-02 4.474044253583997488E-04
 6.306819617748260498E-02 4.524011746980249882E-04
 6.306838244199752808E-02 4.573978658299893141E-04
 6.306856125593185425E-02 4.623944696504622698E-04
 6.306874752044677734E-02 4.673910152632743120E-04
 6.306894123554229736E-02 4.723874735645949841E-04
 6.306912750005722046E-02 4.773838736582547426E-04
 6.306932121515274048E-02 4.823801864404231310E-04
 6.306951493024826050E-02 4.873764410149306059E-04
 6.306970864534378052E-02 4.923726082779467106E-04
 6.306990981101989746E-02 4.973686882294714451E-04
 6.307011097669601440E-02 5.023646517656743526E-04
 6.307031214237213135E-02 5.073606153018772602E-04
 6.307051330804824829E-02 5.123564042150974274E-04
 6.307072192430496216E-02 5.173521931283175945E-04
 6.307093054056167603E-02 5.223478656262159348E-04
 6.307113915681838989E-02 5.273434217087924480E-04
 6.307134777307510376E-02 5.323389777913689613E-04
 6.307156383991241455E-02 5.373345920816063881E-04
 6.307177990674972534E-02 5.423307302407920361E-04
 6.307199597358703613E-02 5.473288474604487419E-04
 6.307221949100494385E-02 5.523319123312830925E-04
 6.307244300842285156E-02 5.573452799580991268E-04
 6.307266652584075928E-02 5.623773322440683842E-04
 6.307289749383926392E-02 5.674400599673390388E-04
 6.307312846183776855E-02 5.725491209886968136E-04
 6.307336688041687012E-02 5.777241894975304604E-04
 6.307361274957656860E-02 5.829883739352226257E-04
 6.307386606931686401E-02 5.883681005798280239E-04
 6.307412683963775635E-02 5.938924732618033886E-04
 6.307439506053924561E-02 5.995928659103810787E-04
